City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bambanglipuro,ID,76.55,overcast clouds,-7.95,110.2833,Puri Brata
5,Arcata,US,73.2,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
12,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
20,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
25,Katsuura,JP,70.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
26,Tezu,IN,77.16,broken clouds,27.9167,96.1667,Circuit House
41,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
44,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Ponta Do Sol,PT,70.72,scattered clouds,32.6667,-17.1,Hotel do Campo
48,Moerai,PF,76.17,light rain,-22.4333,-151.3333,Le Manotel
51,Estevan,CA,79.21,clear sky,49.1334,-102.9842,"Motel 6 Estevan, SK"
60,Arraial Do Cabo,BR,71.69,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
61,Rikitea,PF,73.72,clear sky,-23.1203,-134.9692,People ThankYou
62,North Bend,US,78.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
68,Forestville,US,73.06,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
81,Los Llanos De Aridane,ES,71.35,overcast clouds,28.6585,-17.9182,Valle Aridane
82,Yarada,IN,79.12,thunderstorm with heavy rain,17.65,83.2667,Jeevan
83,Itarema,BR,78.85,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
89,Ambagarh Chauki,IN,74.25,overcast clouds,20.7833,80.7167,Hunesh kunjam home ....
93,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
98,Naze,JP,77.92,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
100,Tura,IN,75.87,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
102,Limon,CR,73.29,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
108,Georgetown,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
115,Guiratinga,BR,73.92,broken clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
116,Chandbali,IN,79.02,overcast clouds,20.7833,86.7667,KABITA HOMES
117,Khammam,IN,77.36,heavy intensity rain,17.25,80.15,Hotel Vishnu Residency
127,Santa Isabel,BR,72.66,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
128,Oak Ridge,US,73.81,clear sky,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
130,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
135,Portland,US,77.09,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
137,Ha Tinh,VN,74.59,overcast clouds,18.3333,105.9,Phú Quý
142,Padang,ID,76.01,light rain,-0.9492,100.3543,Mercure Padang
143,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
147,Huilong,CN,75.92,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
153,Khurda,IN,78.71,overcast clouds,20.1833,85.6167,Bagbaan Villa
159,Juegang,CN,76.98,broken clouds,32.3174,121.1855,Rudong Y Hotel
164,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
169,Dhidhdhoo,MV,76.48,overcast clouds,6.8833,73.1,Dhidhoo beach
173,Faanui,PF,79.84,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Imbituba,BR,71.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
184,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
187,Awbari,LY,75.27,clear sky,26.5921,12.7805,فندق أوباري
