City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,61.12,81,61,1.01,broken clouds
1,Araouane,ML,18.9048,-3.5265,92.89,8,8,7.85,clear sky
2,Bambanglipuro,ID,-7.95,110.2833,76.55,86,98,10.87,overcast clouds
3,Lompoc,US,34.6391,-120.4579,69.94,74,20,11.5,few clouds
4,Tasiilaq,GL,65.6145,-37.6368,33.96,75,57,3.06,broken clouds
5,Arcata,US,40.8665,-124.0828,73.2,66,1,3.0,clear sky
6,Provideniya,RU,64.3833,-173.3,37.51,70,20,11.18,few clouds
7,Pangnirtung,CA,66.1451,-65.7125,32.4,78,17,1.45,few clouds
8,Carnarvon,AU,-24.8667,113.6333,53.67,94,75,6.91,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,13.8,scattered clouds
10,Berlevag,NO,70.8578,29.0864,47.44,86,100,16.35,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,68.38,74,93,23.62,overcast clouds
12,Neiafu,TO,-18.65,-173.9833,79.48,53,75,5.75,broken clouds
13,Bredasdorp,ZA,-34.5322,20.0403,59.29,94,46,4.61,scattered clouds
14,Souillac,MU,-20.5167,57.5167,69.37,100,75,16.11,light rain
15,Kahului,US,20.8947,-156.47,87.82,77,20,21.85,few clouds
16,Porto Velho,BR,-8.7619,-63.9039,84.25,70,40,4.61,scattered clouds
17,Zhigansk,RU,66.7697,123.3711,33.26,82,65,21.09,broken clouds
18,Mataura,NZ,-46.1927,168.8643,48.47,41,4,2.35,clear sky
19,New Norfolk,AU,-42.7826,147.0587,50.92,63,30,3.65,scattered clouds
20,Atuona,PF,-9.8,-139.0333,78.24,72,10,17.6,clear sky
21,Kapaa,US,22.0752,-159.319,84.52,74,20,3.0,light rain
22,Tuatapere,NZ,-46.1333,167.6833,48.81,47,5,1.77,clear sky
23,Marawi,PH,7.9986,124.2928,66.65,85,63,3.78,broken clouds
24,Bluff,NZ,-46.6,168.3333,48.79,58,43,6.96,scattered clouds
25,Katsuura,JP,35.1333,140.3,70.11,70,12,18.59,few clouds
26,Tezu,IN,27.9167,96.1667,77.16,74,69,3.78,broken clouds
27,Olafsvik,IS,64.8945,-23.7142,40.14,77,100,41.14,light rain
